Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.00512187136337161,0.00876413471996784,0.197749897837639,0.162542164325714,0.00690981233492494,-0.0978230908513069,-0.0719974040985107,0.000530058634467423,-0.0985943302512169,-0.127517908811569
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699,..,..
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.46056957461593,4.85718723245387,4.26392083754456,4.1952063010676,4.22362351118875,2.21670577750359,-8.73788443399127,6.11137275205746,3.60568038279472,3.08196524087036
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.333112090826035,-0.270498692989349,-0.25367596745491,-0.280110895633698,-0.286620706319809,-0.728340268135071,-0.453467190265656,-0.278774261474609,-0.191908553242683,-0.313183635473251
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.89613628,6.55064964,6.83333063,6.4901948,6.60399437,6.88792992,8.0225811,8.15972805,..,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.503955740242247,-3.54576339269426,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908609,3.01669435393015,2.90848048667777
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.070290133357048,-0.331864446401596,-0.381035059690475,-0.479947566986084,-0.459598511457443,-0.714224636554718,-0.44689092040062,-0.419879764318466,-0.395036935806274,-0.408567786216736
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.39644146,8.90929985,9.16901493,9.47124863,9.46475029,9.61449146,10.18235016,9.89072323,..,..
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.79264947361806,2.15194249853634,1.75303874553305,1.35769537797211,3.99002947521676,0.634367533828439,-6.14347479224092,11.3339570691911,2.05874008095333,0.218780666901552
Chile,CHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.447516918182373,0.424871742725372,0.402406215667725,0.406281590461731,0.412769764661789,-0.0161215793341398,0.0440445058047771,0.161427184939384,0.13208432495594,0.13615994155407
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.84150124,8.3513937,8.55767059,9.090518,9.22575188,9.36262131,9.72726822,9.34327984,9.00162983,..
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.2888838865514,0.610409565791542
Colombia,COL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.11459410190582,-1.0726637840271,-0.887163996696472,-0.779457807540894,-0.806941986083984,-0.979486107826233,-0.701150059700012,-0.954574346542358,-0.62995833158493,-0.717313230037689
Colombia,COL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.18553209,7.52338552,7.53117037,7.67864323,7.62541437,7.77954912,8.71432114,9.01772404,..,..
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.22606520388456,0.119692109287612,-0.687954245877947,5.97039880954841,1.044295546927,0.165403532646693,-9.24509637743429,9.81841774841701,6.18613907258741,2.35521790742197
Ecuador,ECU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0185332093387842,-0.147344976663589,-0.0917104333639145,-0.0789320766925812,-0.0947211682796478,-0.238217756152153,-0.270243227481842,-0.25738736987114,-0.37122431397438,-0.338139981031418
Ecuador,ECU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.83199883,7.60513353,7.41604376,7.53717899,7.82609653,7.77070522,8.35889626,8.28661728,..,..
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.69655311664086,3.82591056949435,10.82062719659,10.3000053427355,6.35849192736715,5.61691446889876,4.70459096113575,5.5823328114905,3.97240784200721,6.74493444630886
Guinea,GIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.95524275302887,-0.386475414037704,-0.396070927381516,-0.699074149131775,-0.880597352981567,-0.842606127262115,-0.669285237789154,-0.939909875392914,-0.838682115077972,-0.877875149250031
Guinea,GIN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.787992,5.80919266,5.39694929,3.91512918,3.73843002,4.08876228,3.876436,3.75556707,..,..
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.38215737180541,3.25224477218451,3.95331871520767,2.51883544233135,3.969351341365,2.24063176875049,-10.9333065010382,13.3552295093079,2.72550021563363,-0.55018230632048
